Player,Club,Country,Position
Riyad Mahrez,Manchester City,Algeria,FW
Lautaro Martinez,Inter Milan,Argentina,FW
Lionel Messi,PSG,Argentina,FW
Kevin De Bruyne,Manchester City,Belgium,MF
Romelu Lukaku,Chelsea,Belgium,FW
Neymar,PSG,Brazil,FW
Luka Modric,Real Madrid,Croatia,MF
Simon Kjaer,AC Milan,Denmark,DF
Mohamed Salah,Liverpool,Egypt,FW
Phil Foden,Manchester City,England,FW
Harry Kane,Tottenham Hotspur,England,FW
Mason Mount,Chelsea,England,MF
Raheem Sterling,Manchester City,England,FW
Karim Benzema,Real Madrid,France,FW
N'Golo Kante,Chelsea,France,MF
Kylian Mbappe,PSG,France,FW
Robert Lewandowski,Bayern Munich,Germany,FW
Nicolo Barella,Inter Milan,Italy,MF
Leonardo Bonucci,Juventus,Italy,DF
Giorgio Chiellini,Juventus,Italy,DF
Gianluigi Donnarumma,PSG,Italy,GK
Jorginho,Chelsea,Italy,MF
Erling Haaland,Borussia Dortmund,Norway,FW
Ruben Dias,Manchester City,Portugal,DF
Bruno Fernandes,Manchester United,Portugal,MF
Cristiano Ronaldo,Manchester United,Portugal,FW
Cesar Azpilicueta,Chelsea,Spain,DF
Gerard Moreno,Villarreal,Spain,FW
Pedri,FC Barcelona,Spain,MF
Luis Suarez,Atletico Madrid,Uruguay,FW
